Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",107.500000,-92.750000,90.000000,top
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.000000,-92.750000,90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.287500,-106.000000,0.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.000000,-95.750000,-45.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.500000,-96.500000,-45.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",105.250000,-92.750000,-90.000000,top
"C7","12pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.500000,-108.750000,45.000000,top
"C8","12pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",115.750000,-103.000000,-135.000000,top
"D1","D_SNS","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.750000,-107.750000,-90.000000,top
"D2","D_ACT","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.750000,-92.250000,90.000000,top
"D3","D_PWR","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",98.500000,-92.750000,90.000000,top
"D4","6.3V","D_SOD-323_HandSoldering",144.500000,-92.250000,-90.000000,top
"D5","6.3V","D_SOD-323_HandSoldering",144.500000,-107.750000,-90.000000,top
"G***","LOGO","logo-4.2x4.2",98.250000,-108.250000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",95.940000,-100.000000,-90.000000,top
"J2","AVR-ISP-6","PinHeader_1x06_P2.54mm_Vertical",130.000000,-90.250000,-90.000000,top
"J3","AudioJack4","PJ-616-5A",148.250000,-100.000000,180.000000,top
"Q1","MMBT3904","SOT-23",139.000000,-92.250000,0.000000,top
"Q2","MMBT3904","SOT-23",139.062500,-107.750000,0.000000,top
"R1","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.750000,-97.000000,-90.000000,top
"R2","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.750000,-101.500000,-90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.500000,-94.250000,135.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",100.750000,-92.750000,-90.000000,top
"R5","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.500000,-106.000000,180.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.000000,-97.250000,45.000000,top
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.500000,-98.750000,45.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.500000,-107.750000,135.000000,top
"R9","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.000000,-106.250000,135.000000,top
"R10","5k1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.250000,-92.750000,-90.000000,top
"R12","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.500000,-92.250000,-90.000000,top
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.562500,-107.750000,-90.000000,top
"R14","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.750000,-92.250000,90.000000,top
"R15","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.812500,-107.750000,90.000000,top
"R17","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.250000,-92.250000,90.000000,top
"R18","220","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.312500,-107.750000,-90.000000,top
"U1","FT231XS","SSOP-20_3.9x8.7mm_P0.635mm",108.750000,-100.000000,180.000000,top
"U2","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",124.000000,-100.500000,45.000000,top
"Y1","16MHz","Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm_HandSoldering",118.250000,-106.250000,135.000000,top
